"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IFT25",-1.37739552463919,5.17682008109091,-7.92354238304743,1.30395734849368e-12,3.16072748888563e-11,18.1071508134452
"BTN3A1",-2.34642746548591,4.11528456269835,-7.90219774611451,1.45966047070799e-12,3.51025330540192e-11,17.996071893249
"FCGR1A",-1.57457667399724,6.65144870903719,-7.89994008511993,1.4771725467546e-12,3.54837117389703e-11,17.9843283142938
"PHOX2B",-1.8895750093434,7.25544547466116,-7.88116765865859,1.63110223711126e-12,3.90058099367424e-11,17.8867211496866
"ZFX",-1.38970486101206,4.9006260278781,-7.87431308747588,1.69119260439217e-12,4.02176147737135e-11,17.851098957935
"HYLS1",-1.26133806160358,7.77907193679339,-7.8648388779827,1.7778826353395e-12,4.21383836600166e-11,17.8018789427385
"PTGFR",-1.68673391378766,3.41464782533058,-7.86429049941071,1.78303331115126e-12,4.22136101548061e-11,17.7990306010556
"SLC41A1",-2.47953507445029,6.76408828890909,-7.86135460024563,1.81086196041858e-12,4.27776074831181e-11,17.7837822674914
"AJM1",-1.61520700165332,4.2269104431405,-7.85841955037266,1.83911360171848e-12,4.33969844913793e-11,17.7685401423913
"HOXA4",-2.59254388414995,5.39627082487603,-7.85602388604279,1.86249738824834e-12,4.39002557682598e-11,17.7561004557543
"H2AC7",-2.77845628759228,7.4702396498843,-7.84687410620373,1.95455614358034e-12,4.59180929000639e-11,17.7086005187646
"SYCE1L",-1.27483390386428,3.21809441716116,-7.8370129556345,2.05883526593091e-12,4.8261720201926e-11,17.6574272754505
"TENM1",-1.41173050150768,4.53679761150413,-7.82509473523013,2.19226363442719e-12,5.09975924980312e-11,17.5956065019555
"MYH13",-4.55058696390735,10.1662788676198,-7.80041354961167,2.49648491856588e-12,5.75728244448968e-11,17.4676791570947
"IRAG1-AS1",-1.4650681061997,4.63077100760331,-7.79491886420043,2.56972058292649e-12,5.91340334573225e-11,17.4392168679089
"SERPINI2",-2.93103580918046,3.32042000317355,-7.79429447462124,2.5781765137721e-12,5.92647572137816e-11,17.4359829607928
"LINC00867",-2.46647570526817,8.06658461821488,-7.78239542753946,2.74470518228018e-12,6.27550098154104e-11,17.3743701546128
"PAIP2B",-1.1065057414633,6.92370858946281,-7.77988220739388,2.78122095020246e-12,6.33863109835364e-11,17.3613607067102
"RADIL",-1.37942186014937,5.73301001587603,-7.77599807608824,2.83860605941069e-12,6.46177142595646e-11,17.3412575548548
"PTPRU",-1.60979742462222,3.76207695883471,-7.77492730073894,2.85463158744648e-12,6.48517633509783e-11,17.3357161028975
"BBS1",-1.29451725030963,5.92140557087879,-7.76472503141118,3.01189757577631e-12,6.81346109435413e-11,17.2829300403443
"F2RL1",-1.12728452599495,4.03137032994215,-7.76108312569442,3.07009520458894e-12,6.93043161670156e-11,17.2640924773144
"PROX2",-1.01241852091236,2.80380366966942,-7.75785023317387,3.12269119748798e-12,7.03429013948902e-11,17.2473729376881
"BAMBI",-1.50394188813754,10.829361550157,-7.74644983310911,3.31540336956351e-12,7.45267778495041e-11,17.1884317731936
"E2F1",-1.31349662295197,4.77713227540083,-7.7419772537138,3.39419147033838e-12,7.62176223439286e-11,17.1653158945672
"C1QTNF5",-1.22019011018441,3.03743461877686,-7.73278048838406,3.56208617013517e-12,7.97362161040214e-11,17.1177975849763
"PTPN22",-1.13558440049693,5.04320700686364,-7.72379497425107,3.73407901087229e-12,8.34113569844957e-11,17.0713888242092
"TNXA",-1.13520081014635,5.20884456037466,-7.722294847614,3.76358530172107e-12,8.39826166334938e-11,17.0636426495484
"PEX7",-2.20532088586036,6.61358802644215,-7.71139604569808,3.98501694176419e-12,8.83280210921085e-11,17.0073797341014
"HEY2",-1.70805383406142,5.15258571449174,-7.71138374422252,3.98527403622853e-12,8.83280210921085e-11,17.0073162451011
"DLEU1",-2.2729420912297,4.84421273320661,-7.71128813029186,3.98727287908184e-12,8.83280210921085e-11,17.0068227743225
"DTX1",-1.82421561291976,7.72819336743802,-7.6946858790686,4.34987089344371e-12,9.58632537972038e-11,16.9211682749504
"BRSK2",-1.49303269815361,5.0019368181157,-7.69147903854353,4.42359006947959e-12,9.73873875605532e-11,16.9046306317802
"TLR10",-1.00136253593188,2.83244523021074,-7.68924611794304,4.47565149808022e-12,9.84320677049466e-11,16.8931168493316
"HCFC2",-2.57349498955633,4.31423519587603,-7.67959553964616,4.70774043996058e-12,1.0321745081659e-10,16.8433677442296
"OTP",-1.37288059257357,3.63282025944628,-7.67810853883757,4.74454812557237e-12,1.03811296333605e-10,16.835704067364
"LINC01366",-1.40985367008829,5.64681002430579,-7.65650204051652,5.31273442162324e-12,1.15768819973229e-10,16.7244055051514
"KIAA0586",-1.32349658449976,3.72028368636364,-7.64194554153939,5.73308525284228e-12,1.2442076786021e-10,16.649482667346
"MRPS17",-1.17009710984452,4.48219845538843,-7.6343822007193,5.96435381774521e-12,1.28785415346763e-10,16.6105730737911
"GKAP1",-1.3141613375274,5.7586341902314,-7.62105331067416,6.39466539778004e-12,1.37659354404831e-10,16.542034744116
"INPP5E",-1.27940310766917,4.43811450946281,-7.60598067125395,6.91846943496068e-12,1.48337263838941e-10,16.46457953407
"LINC00302",-1.0944249636816,4.24849551573967,-7.60028579692762,7.12726974423443e-12,1.52355200588715e-10,16.4353285186686
"CYP2A7P1",-2.03768191325995,5.17717860214463,-7.58469275005013,7.73151638136704e-12,1.64612694241369e-10,16.3552756393491
"SLC20A1-DT",-1.85325038466184,7.35510489473554,-7.57345562110375,8.19821014048271e-12,1.73855787040723e-10,16.2976210009992
"HYKK",-2.03085408610129,4.32531008780165,-7.56502510713654,8.56658764098369e-12,1.80732700771765e-10,16.2543859396917
"TRAV9-2",-1.89262293748251,2.85356511806612,-7.53884789758041,9.81828632770696e-12,2.04555614173836e-10,16.1202464883099
"SDHAF2",-1.45410876031226,3.28479412003306,-7.52946247235344,1.03099032139793e-11,2.13963054552506e-10,16.0721928634681
"SHD",-1.08218620483544,2.89158791704132,-7.49793931065246,1.21467374229809e-11,2.48699499202069e-10,15.9109492702535
"TBC1D25",-1.64411488454191,5.80350316604959,-7.47811767830108,1.34642591961794e-11,2.73837385842297e-10,15.8096839878673
"C1orf216",-3.24365740846613,5.3680382951157,-7.47616659083735,1.36013652058639e-11,2.76362658393171e-10,15.7997214348024
"RCC1",-1.13072725503997,9.38148439119008,-7.47360207934716,1.37836848514865e-11,2.7874108901846e-10,15.7866280704086
"DZIP1",-1.20139302721925,9.24347028131818,-7.47300013126219,1.38268292273204e-11,2.7934904271469e-10,15.7835550004611
"TFAP4",-2.1227790341528,8.15655844827273,-7.47166601437096,1.39229292733682e-11,2.81024720824931e-10,15.7767443752792
"CD28",-1.49164487588675,6.05682261396143,-7.46359944557973,1.45182541318795e-11,2.91937209968256e-10,15.7355741572192
