"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC01503",1.14694231094169,8.47040305521488,5.5383160578533,1.82305397042233e-07,1.68606832128059e-06,6.49998880245849
"LOC105374325",1.19657148712497,3.73251611869421,5.52166256598242,1.96635718241732e-07,1.81062658121296e-06,6.42645988873136
"HOGA1",1.22202591879012,5.00403718830579,5.51379357409138,2.03784886126731e-07,1.87094851385913e-06,6.39176218998126
"TNFSF13B",1.59451829406926,5.51014223331818,5.51013604130026,2.07193819521109e-07,1.89572579943156e-06,6.37564459133896
"LINC00879",1.21072371584839,4.40741172364463,5.4972887627185,2.19615818945426e-07,1.99740026132009e-06,6.31908109368968
"GEMIN4",1.08131930233508,6.66618891194215,5.49671561564867,2.20186647055827e-07,2.00003651547307e-06,6.31655949612122
"ZNF708",1.64320435333254,5.99311836749587,5.4853189868028,2.31843262827031e-07,2.09611044778631e-06,6.26645185488651
"KHNYN",1.16286336910404,5.06929925855372,5.47632077770686,2.41471186880068e-07,2.17854549886939e-06,6.22693325376627
"TMEM42",1.21776037563118,6.21146930109917,5.47401830908436,2.43996955863062e-07,2.19947445861363e-06,6.21682743953109
"LOC105376031",1.28962659619735,6.64668711070248,5.4600957210407,2.59829480670737e-07,2.3333299241899e-06,6.15577377007301
"PIR",1.69776910336706,4.18813628033058,5.4448534258802,2.78315259948447e-07,2.4847083512538e-06,6.08903996832507
"RCOR2",1.86213479822509,4.4820500551405,5.42125087255532,3.09504575314168e-07,2.73457600572364e-06,5.98592518308117
"MS4A6E",1.85156769229296,4.61534403339669,5.40844452475143,3.27831269560775e-07,2.87981767234486e-06,5.93009020320406
"ZNF273",1.06923219211846,5.05107049002893,5.3954485661296,3.47512389410914e-07,3.04019953947975e-06,5.87351041885463
"ARHGAP17",1.78465477559613,5.26657706723141,5.36767152012576,3.93527535830961e-07,3.41478282310856e-06,5.75285692616188
"OLFM4",1.00106396944507,8.54773131371901,5.3642698333676,3.99556456942297e-07,3.46287667938424e-06,5.73810734841923
"DPAGT1",1.05832614337553,5.36734819095041,5.36316517349008,4.01533619076837e-07,3.47860058230664e-06,5.73331881706952
"CENPK",1.03664484965099,3.58956608657851,5.35705299384518,4.12647379167917e-07,3.56331774449287e-06,5.70683436136396
"VDAC2",1.16817486390378,9.18156647669421,5.31678859278228,4.93742672492928e-07,4.18241760058964e-06,5.53282984172492
"ZNF35",1.43513041864589,5.96830147752893,5.31668109600496,4.93978738459595e-07,4.18275811253158e-06,5.53236637124344
"MCCC1",1.01907418727542,4.84459405119008,5.31259867844798,5.03025857854404e-07,4.25093676077594e-06,5.51476938002298
"POM121L10P",1.08699632929236,8.12410836904132,5.29438510857864,5.45399156475047e-07,4.57642396327098e-06,5.43636282170522
"INTS8",1.2490963379253,6.1575948378843,5.28203707320358,5.76087703317939e-07,4.81689620374103e-06,5.38330138485188
"SMARCAD1",1.14031879182971,6.04937781099174,5.27338188961513,5.98596434462112e-07,4.99050590872309e-06,5.34615458710645
"NAT8L",1.16233522025392,5.8869766126405,5.27333507146455,5.98720493474528e-07,4.99050590872309e-06,5.34595375337413
"RMI1",1.49123472314533,4.71605190161157,5.27042257882032,6.06487560717459e-07,5.04540002303129e-06,5.33346234493219
"ACR",1.24049950018717,6.11908414420661,5.26497730289778,6.2127369788714e-07,5.1643829577189e-06,5.31011959243292
"NLRP2B",1.04521923687441,4.39249358471074,5.26165599244991,6.304644907886e-07,5.230601865109e-06,5.29588921496583
"CGB3",1.07555179353784,6.86742760650413,5.25962827020309,6.36140720275674e-07,5.26950546217495e-06,5.28720405533629
"LINC01416",1.46883536724149,4.43693951065289,5.25613665563849,6.46031909299849e-07,5.345219458775e-06,5.27225363198328
"SLC6A20",1.02173146843182,3.98728827144215,5.25535784364294,6.48258541765734e-07,5.35948941517896e-06,5.26891975358885
"MRPS33",1.37115179939166,4.18699331237603,5.25023177241097,6.63101987607836e-07,5.47161628491706e-06,5.24698416007881
"CNGA3",2.8843688183925,5.99419807787603,5.24618831588459,6.75043975681398e-07,5.56800467388036e-06,5.22969075114108
"WDR31",1.12186702134357,5.38241364204132,5.24604358860086,6.75475281111236e-07,5.56941105333222e-06,5.2290719232182
"BALR6",1.54831922868945,5.58483998871901,5.23940126697724,6.95562168585589e-07,5.71957262616297e-06,5.20068204051424
"GBP3",1.09949183539873,3.90505241264463,5.23290867458882,7.15758854663525e-07,5.86757402738563e-06,5.17295388154569
"APOM",1.23174352400165,7.9338876651405,5.23200355043052,7.18619493029108e-07,5.88199282239808e-06,5.16909004485697
"ILRUN",1.05241681337817,5.44875452026171,5.22050325945996,7.55951442954514e-07,6.17100270041806e-06,5.12003357855193
"RNF181",1.70820898185066,4.11775291438017,5.22032816653932,7.5653419378611e-07,6.17339996496079e-06,5.11928721346257
"SGCB",1.09141635439403,7.92399390596901,5.21721500026049,7.66968993926994e-07,6.25138277301945e-06,5.1060194083284
"SPRR1A",1.22519827961505,7.45270830939669,5.21657441774127,7.69133462682688e-07,6.26663300098771e-06,5.10328996762798
"CHGA",1.9470216894575,10.2212543243388,5.20872135216994,7.96157236663683e-07,6.4744622197079e-06,5.06984618947649
"SPAG17",1.04880872470131,7.51248290733058,5.20741629384154,8.00736992806939e-07,6.50922667734761e-06,5.06429142269349
"SPATA31C2",1.17817774056499,7.91685546063636,5.19583293947207,8.42527623261895e-07,6.82297208750769e-06,5.0150272284455
"INHBC",1.22710196185065,4.26420384264463,5.18677546950608,8.76679623072213e-07,7.07005035902836e-06,4.97655390699757
"ARHGAP22-IT1",1.25367755866654,5.11407881024793,5.17952303310741,9.04995067612541e-07,7.2791599506086e-06,4.94577840549515
"SLC31A2",1.20154603117754,9.1042384656281,5.17324732494967,9.30215004983498e-07,7.45114082198898e-06,4.91916962478493
"FTH1P5",2.09250117482573,9.04727084952066,5.16191649149517,9.77495751281424e-07,7.81228359603848e-06,4.87117910384442
"MMP20",1.06409224051637,4.89486780944628,5.15875863175514,9.91084774314077e-07,7.90954966437433e-06,4.85781623376562
"SERPINH1",2.981848047427,7.2336386497438,5.15761567358119,9.96048428458649e-07,7.94272374523318e-06,4.85298094693118
"GPR146",1.48834580876976,6.28166423529752,5.15391908696542,1.01226845772028e-06,8.06303353771598e-06,4.8373471935829
"CCN5",1.0356289705503,5.67742819152893,5.1523729597842,1.01912869826487e-06,8.10860408027058e-06,4.83081036436103
